Month,Low_k
01-Jun-20,5750
01-Jul-20,5799.109863
01-Aug-20,5691.740234
01-Sep-20,5695.779785
01-Oct-20,5825.47998
01-Nov-20,6250.870117
01-Dec-20,6740.299805
01-Jan-21,6612.620117
01-Feb-21,6634.589844
01-Mar-21,6325.640137
01-Apr-21,6348.560059
01-May-21,6080.939941
01-Jun-21,6576.640137
01-Jul-21,6270.22998
01-Aug-21,6293.660156
01-Sep-21,6771.759766
01-Oct-21,6906.859863
01-Nov-21,7000
01-Dec-21,6928.299805
01-Jan-22,6966.850098
01-Feb-22,7175.819824
01-Mar-22,6638.399902
01-Apr-22,6731.25
01-May-22,6630.459961
